,Date,Index,Inflation,FedMinWage
0,1913-01-01,9.8,0.0,0.0
1,1913-02-01,9.8,0.0,0.0
2,1913-03-01,9.8,0.0,0.0
3,1913-04-01,9.8,0.0,0.0
4,1913-05-01,9.7,-1.02,0.0
5,1913-06-01,9.8,1.03,0.0
6,1913-07-01,9.9,1.02,0.0
7,1913-08-01,9.9,0.0,0.0
8,1913-09-01,10.0,1.01,0.0
9,1913-10-01,10.0,0.0,0.0
10,1913-11-01,10.1,1.0,0.0
11,1913-12-01,10.0,-0.99,0.0
12,1914-01-01,10.0,0.0,0.0
13,1914-02-01,9.9,-1.0,0.0
14,1914-03-01,9.9,0.0,0.0
15,1914-04-01,9.8,-1.01,0.0
16,1914-05-01,9.9,1.02,0.0
17,1914-06-01,9.9,0.0,0.0
18,1914-07-01,10.0,1.01,0.0
19,1914-08-01,10.2,2.0,0.0
20,1914-09-01,10.2,0.0,0.0
21,1914-10-01,10.1,-0.98,0.0
22,1914-11-01,10.2,0.99,0.0
23,1914-12-01,10.1,-0.98,0.0
24,1915-01-01,10.1,0.0,0.0
25,1915-02-01,10.0,-0.99,0.0
26,1915-03-01,9.9,-1.0,0.0
27,1915-04-01,10.0,1.01,0.0
28,1915-05-01,10.1,1.0,0.0
29,1915-06-01,10.1,0.0,0.0
30,1915-07-01,10.1,0.0,0.0
31,1915-08-01,10.1,0.0,0.0
32,1915-09-01,10.1,0.0,0.0
33,1915-10-01,10.2,0.99,0.0
34,1915-11-01,10.3,0.98,0.0
35,1915-12-01,10.3,0.0,0.0
36,1916-01-01,10.4,0.97,0.0
37,1916-02-01,10.4,0.0,0.0
38,1916-03-01,10.5,0.96,0.0
39,1916-04-01,10.6,0.95,0.0
40,1916-05-01,10.7,0.94,0.0
41,1916-06-01,10.8,0.93,0.0
42,1916-07-01,10.8,0.0,0.0
43,1916-08-01,10.9,0.93,0.0
44,1916-09-01,11.1,1.83,0.0
45,1916-10-01,11.3,1.8,0.0
46,1916-11-01,11.5,1.77,0.0
47,1916-12-01,11.6,0.87,0.0
48,1917-01-01,11.7,0.86,0.0
49,1917-02-01,12.0,2.56,0.0
50,1917-03-01,12.0,0.0,0.0
51,1917-04-01,12.6,5.0,0.0
52,1917-05-01,12.8,1.59,0.0
53,1917-06-01,13.0,1.56,0.0
54,1917-07-01,12.8,-1.54,0.0
55,1917-08-01,13.0,1.56,0.0
56,1917-09-01,13.3,2.31,0.0
57,1917-10-01,13.5,1.5,0.0
58,1917-11-01,13.5,0.0,0.0
59,1917-12-01,13.7,1.48,0.0
60,1918-01-01,14.0,2.19,0.0
61,1918-02-01,14.1,0.71,0.0
62,1918-03-01,14.0,-0.71,0.0
63,1918-04-01,14.2,1.43,0.0
64,1918-05-01,14.5,2.11,0.0
65,1918-06-01,14.7,1.38,0.0
66,1918-07-01,15.1,2.72,0.0
67,1918-08-01,15.4,1.99,0.0
68,1918-09-01,15.7,1.95,0.0
69,1918-10-01,16.0,1.91,0.0
70,1918-11-01,16.3,1.88,0.0
71,1918-12-01,16.5,1.23,0.0
72,1919-01-01,16.5,0.0,0.0
73,1919-02-01,16.2,-1.82,0.0
74,1919-03-01,16.4,1.23,0.0
75,1919-04-01,16.7,1.83,0.0
76,1919-05-01,16.9,1.2,0.0
77,1919-06-01,16.9,0.0,0.0
78,1919-07-01,17.4,2.96,0.0
79,1919-08-01,17.7,1.72,0.0
80,1919-09-01,17.8,0.56,0.0
81,1919-10-01,18.1,1.69,0.0
82,1919-11-01,18.5,2.21,0.0
83,1919-12-01,18.9,2.16,0.0
84,1920-01-01,19.3,2.12,0.0
85,1920-02-01,19.5,1.04,0.0
86,1920-03-01,19.7,1.03,0.0
87,1920-04-01,20.3,3.05,0.0
88,1920-05-01,20.6,1.48,0.0
89,1920-06-01,20.9,1.46,0.0
